"Targets","T9_biorep1_techrep1","T9_biorep1_techrep2","T9_biorep1_techrep3","T9_biorep2_techrep1","T9_biorep2_techrep2","T9_biorep2_techrep3","T9_biorep3_techrep1","T9_biorep3_techrep2","T9_biorep3_techrep3","T10_biorep1_techrep1","T10_biorep1_techrep2","T10_biorep1_techrep3","T10_biorep2_techrep1","T10_biorep2_techrep2","T10_biorep2_techrep3","T10_biorep3_techrep1","T10_biorep3_techrep2","T10_biorep3_techrep3"
"AT1G22870_P1",7.13424,4.82211,7.98049,6.09173,5.79838,6.5723,6.6392,6.2639,5.49518,7.60693,6.66994,8.80717,5.58737,6.45647,6.35491,7.41591,5.71682,5.22389
"AT1G22870_P2",2.63914,1.73456,0.832781,1.30681,1.22264,0.843348,0.503099,1.67621,1.04064,2.60942,4.48174,1.64711,1.17803,1.14717,1.78734,0,1.16359,2.34625
"AT1G22910_P1",7.80866,7.42108,4.46343,7.20593,6.37352,4.9895,6.23773,5.31653,3.5148,11.1318,13.9482,10.8496,12.4516,12.4977,11.3281,15.3546,11.7838,12.9588
"AT1G22910_P2",6.37727,7.4679,6.9323,7.21758,8.58628,7.53762,7.93456,6.99811,7.38491,8.2956,7.281,9.26686,8.73589,8.58768,8.06675,9.58649,11.4201,9.26695
"AT1G22960.1",1.68326,1.87289,1.82,1.58411,1.4777,1.07567,2.27385,0.610456,0.816173,1.50309,1.29513,1.27275,2.7073,2.0531,3.80872,4.50967,3.36635,3.38737
"AT1G22960_P1",1.80114,2.16801,1.02747,1.32015,2.29e-05,1.55547,0.232271,1.27487,1.78958,0.620971,1.50062,0.784436,0.950755,1.24168,0.895318,2.8871,1.89222,0.294103
"AT1G22960_P2",1.5554,0,1.30505,1.88398,2.7148,2.10628,2.20134,1.86214,1.81655,1.36633,1.44604,0.542381,2.12501,2.41123,1.98203,0,1.49149,2.60906
"AT1G22970.1",20.4536,21.6676,22.9134,17.8655,19.8433,20.9549,20.613,17.9934,13.6227,19.7656,18.0424,18.7857,22.7235,22.6078,24.8357,25.4509,25.1542,20.243
"AT1G22970_ID3",4.4901,5.24277,3.80791,3.00332,3.7572,3.00425,2.42125,5.12893,7.82635,1.08387,0.73168,1.21632,3.70501,2.65465,1.38378,2.78114,1.99558,2.63459
"AT1G23000_ID6",1.34512,1.56226,2.18001,1.2369,0.0960118,0,1.24095,1.48612,1.11698,1.97916,0.029933,1.38231,0.952869,0,1.77991,1.42e-07,8.89e-06,0.375167
"AT1G23000_P1",2.03549,3.108,1.17501,3.42049,3.40221,4.06305,3.3041,3.54282,3.87703,0.779299,2.40939,2.53916,2.29371,1.79938,1.66338,2.14659,2.26728,1.55348
"AT1G23020_P1",2.08224,1.58122,1.67555,2.32e-07,0.375967,0,1.46882,2.21162,1.92e-07,2.9267,1.45743,1.40385,0.612333,1.08e-06,0.00603895,0.204689,1.32927,2.26241
"AT1G23020_P3",2.41819,3.89736,2.37216,3.88851,3.08365,5.01295,2.20718,1.5772,2.08213,2.36816,1.33966,2.4214,0.363912,2.85481,3.56212,2.80334,0.782481,1.67384
"AT1G23020_P7",2.4079,1.14004,0.954182,0.75258,3.33e-05,0.207961,0.67185,0.388646,1.43959,0.144569,1.16693,0.229071,0.506215,0.881956,0.000276961,1.17977,0.620914,0.476963
"AT1G23040_P1",1.50048,1.79924,1.73764,1.77712,2.37501,2.08102,1.91436,2.3254,1.74571,1.2981,1.36864,1.50287,1.67395,1.35834,1.70624,1.65674,1.23106,1.29752
"AT1G23040_P3",6.33923,5.62864,10.9002,7.69885,7.88925,7.99492,8.64955,8.52746,8.36899,4.96318,7.45933,7.25891,8.57637,1.50193,9.07546,6.71427,7.53931,9.13163
"AT1G23080_c1",15.1524,13.8665,12.3524,13.5845,10.3879,11.4556,13.2186,8.80003,9.86987,9.07834,7.01938,7.84827,6.20938,5.76529,6.49773,4.81916,7.30665,4.9792
"AT1G23080_c4",37.9648,38.5313,37.7607,32.237,35.4803,31.9318,27.4656,28.5818,32.5098,23.0136,20.6298,25.1595,19.3992,23.6537,22.7876,17.1746,16.8876,22.077
"AT1G23090_P1",12.7052,12.4814,11.5807,8.64927,8.93672,10.6768,10.267,11.0541,10.6967,22.2575,21.7329,22.2559,36.8868,36.7599,36.6292,34.6797,35.9234,36.1872
"AT1G23090_P2",0.473049,0.886832,1.60053,0.72203,0.40352,0.421178,0.545269,0.441494,0.160842,7.39653,5.05673,7.31202,11.213,9.99173,10.2424,15.4721,14.446,13.8113
"AT1G23230_P2",4.34301,8.30231,7.53197,3.56237,3.70564,3.11553,4.78355,5.00418,6.6103,1.85263,1.19404,4.32736,2.00375,3.59701,1.86258,1.64711,1.41867,3.00694
"AT1G23230_P3",12.3834,9.22296,8.13922,11.4459,11.9545,11.1895,10.3912,10.4945,8.22163,12.1017,11.8409,8.45414,11.3227,9.66621,11.2444,11.2991,11.5588,10.0813
"AT1G23340.2",0.874838,1.96811,1.28861,3.94664,3.74275,2.54702,0.919365,2.57801,1.52631,1.61968,2.09929,1.81989,2.65841,1.96214,1.22097,1.39169,1.31405,2.72983
"AT1G23340_P1",1.4962,0.608357,0.722592,0.406751,0.876695,0.94236,2.56034,1.08896,2.41983,0.10408,0.25366,0.526648,0.978051,0.754807,1.94159,1.20882,1.3848,0.889471
"AT1G23360_ID3",10.1857,12.6473,10.5356,8.58603,3.94845,6.34525,6.24139,3.6872,7.07832,14.0638,15.1713,12.2733,10.0218,6.83065,11.3538,11.026,11.2796,8.74857
"AT1G23360_P1",17.623,17.0671,14.4371,15.4515,17.4344,16.4297,17.5962,15.9468,13.7645,13.5397,19.4411,17.2565,14.1941,13.9188,16.899,15.1289,15.2261,16.499
"AT1G23360_s1",11.4062,9.01553,15.7946,8.73708,11.1639,6.98941,7.23008,9.8798,8.66523,6.23212,2.91855,7.73107,4.4921,10.4594,3.77861,6.22435,6.50414,2.61269
"AT1G23380_ID3",0.268034,0,1.55121,0.585957,0.536712,1.25198,0.253879,0.519238,0,0.751447,0.882138,1.09303,1.80504,0.40624,1.15401,1.85188,0.711009,2.09657
"AT1G23380_P1",2.7603,4.12028,2.44147,5.12197,4.80075,3.43338,4.43513,4.76482,4.72791,3.3065,3.81377,2.17555,3.52673,5.19886,5.1024,5.33466,6.34291,6.0989
"AT1G23460_P1",1.07985,0.513963,0.810701,2.62505,3.38744,3.0652,3.65397,3.03248,2.23552,0.475828,0.693985,0.640075,4.15949,3.6928,3.72465,3.65129,4.26809,4.1158
